# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
-0.12374999999999997,1.6360588970211237e-05
-0.1225,1.6901353744694886e-05
-0.12124999999999997,1.746023113475417e-05
-0.12,1.803783670602497e-05
-0.11874999999999997,1.863480727730224e-05
-0.1175,1.9251801666777106e-05
-0.11624999999999996,1.9889501464936435e-05
-0.11499999999999999,2.054861183509378e-05
-0.11375000000000002,2.122986234255672e-05
-0.11249999999999999,2.1934007813472814e-05
-0.11125000000000002,2.2661829224434732e-05
-0.10999999999999999,2.3414134623965367e-05
-0.10875000000000001,2.419176008704461e-05
-0.10749999999999998,2.4995570703883735e-05
-0.10625000000000001,2.5826461604195978e-05
-0.10499999999999998,2.6685359018260534e-05
-0.10375000000000001,2.7573221376122977e-05
-0.10249999999999998,2.8491040446327083e-05
-0.10125,2.9439842515622488e-05
-0.09999999999999998,3.0420689611148845e-05
-0.09875,3.1434680766649735e-05
-0.09749999999999998,3.248295333433079e-05
-0.09625,3.356668434403271e-05
-0.09499999999999997,3.468709191145584e-05
-0.09375,3.584543669723357e-05
-0.09249999999999997,3.704302341872223e-05
-0.09125,3.82812024164418e-05
-0.08999999999999997,3.9561371277176066e-05
-0.08875,4.08849765158132e-05
-0.08749999999999997,4.225351531808784e-05
-0.08625,4.366853734646332e-05
-0.08499999999999996,4.513164661147974e-05
-0.08374999999999999,4.664450341097531e-05
-0.08250000000000002,4.820882633968408e-05
-0.08124999999999999,4.9826394371800584e-05
-0.08000000000000002,5.1499049019202566e-05
-0.07874999999999999,5.322869656812246e-05
-0.07750000000000001,5.501731039716007e-05
-0.07624999999999998,5.6866933379640986e-05
-0.07500000000000001,5.877968037343264e-05
-0.07374999999999998,6.075774080145054e-05
-0.07250000000000001,6.2803381326204e-05
-0.07124999999999998,6.49189486218586e-05
-0.07,6.710687224742016e-05
-0.06874999999999998,6.936966762478254e-05
-0.0675,7.170993912551597e-05
-0.06624999999999998,7.413038327042582e-05
-0.065,7.663379204605177e-05
-0.06374999999999997,7.922305634244274e-05
-0.0625,8.190116951669803e-05
-0.06124999999999997,8.467123108693731e-05
-0.06,8.753645056153179e-05
-0.05874999999999997,9.050015140861506e-05
-0.057499999999999996,9.356577517107281e-05
-0.05624999999999997,9.673688573241167e-05
-0.05499999999999999,0.00010001717373910283
-0.053749999999999964,0.00010341046118520938
-0.05249999999999999,0.00010692070616532177
-0.05125000000000002,0.00011055200780204945
-0.04999999999999999,0.00011430861135455216
-0.048750000000000016,0.00011819491351483443
-0.04749999999999999,0.00012221546789878028
-0.04625000000000001,0.00012637499073915966
-0.044999999999999984,0.00013067836678811834
-0.04375000000000001,0.0001351306554369309
-0.04249999999999998,0.00013973709706109578
-0.04125000000000001,0.00014450311959914738
-0.03999999999999998,0.00014943434537387785
-0.03875000000000001,0.0001545365981649765
-0.03749999999999998,0.00015981591054244076
-0.036250000000000004,0.00016527853147045118
-0.034999999999999976,0.00017093093419177387
-0.03375,0.000176779824403119
-0.03249999999999997,0.00018283214873227746
-0.03125,0.00018909510352826232
-0.02999999999999997,0.00019557614397609424
-0.028749999999999998,0.0002022829935483048
-0.02749999999999997,0.00020922365380568594
-0.026249999999999996,0.0002164064145602671
-0.024999999999999967,0.00022383986441400317
-0.023749999999999993,0.00023153290168713355
-0.022499999999999964,0.00023949474575071678
-0.02124999999999999,0.0002477349487783595
-0.020000000000000018,0.0002562634079327399
-0.01874999999999999,0.00026509037800308066
-0.017500000000000016,0.0002742264845103489
-0.016249999999999987,0.00028368273729756973
-0.015000000000000013,0.0002934705446232842
-0.013749999999999984,0.00030360172777686457
-0.012500000000000011,0.00031408853623507595
-0.011249999999999982,0.00032494366338001136
-0.010000000000000009,0.00033618026279925566
-0.00874999999999998,0.00034781196518992696
-0.007500000000000007,0.0003598528958890256
-0.006249999999999978,0.00037231769305337895
-0.0050000000000000044,0.0003852215265133004
-0.0037499999999999756,0.0003985801173250241
-0.0025000000000000022,0.0004124097580478481
-0.0012499999999999734,0.00042672733377294245
0.0,0.0004415503439317297
0.0012499999999999734,0.00045689692491282204
0.0025000000000000577,0.0004727858735175522
0.003750000000000031,0.0004892366712852544
0.0050000000000000044,0.0005062695097206538
0.006249999999999978,0.0005239053164568505
0.007500000000000062,0.0005421657823887236
0.008750000000000036,0.000561073389812808
0.010000000000000009,0.000580651441611117
0.011249999999999982,0.0006009240915177087
0.012499999999999956,0.0006219163755083303
0.01375000000000004,0.0006436542443549402
0.015000000000000013,0.0006661645973884976
0.016249999999999987,0.0006894753175150793
0.01749999999999996,0.0007136153075320237
0.018750000000000044,0.0007386145277926591
0.020000000000000018,0.000764504035269942
0.02124999999999999,0.0007913160240713467
0.022499999999999964,0.0008190838674592499
0.02375000000000005,0.0008478421614332357
0.025000000000000022,0.0008776267699328689
